44 = "Hammaburg"					#Hamburg					|			2128.07.18
58 = "Aneholt"						#Anhalt						|theory		2124.02.19
62 = "Libia"						#Leipzig					|reconstructed
70 = "Wirtemberg"					#Württemberg				|			2128.07.18
75 = "Elisazon"						#Elsass						|			2128.07.18
735 = "Gale"						#Hanseong
1872 = "Hulma"						#Ulm						|			2122.09.18
1775 = "Holtsaten"					#Holstein					|			2128.07.18
1874 = "Bremun"						#Bremen						|do not fit with the century
4741 = "Dobrebora"					#Halle						|			2108.06.20 polish/celtic origin ??
4141 = "Ditmarsh"					#Dithmarschen				|theory
233 = "Cornwallis"					#Cornwall					|			2105.01.19
