33 = "Sankt Petersburg"				#Neva						|checked	2123.05.18
151 = "Istanbul"					#Constantinople				|			2120.06.18
256 = "Schröttersburg" 	 			#Plock 						|checked	2101.09.20
1760 = "Koblenz"					#Koblenz					|checked	2118.05.18
1762 = "Kassel"						#Kassel						|checked	2118.05.18
1859 = "Kulm"						#Chelmno					|checked	2118.05.18
1939 = "Lentschütz"					#Leczyca					|			2125.05.18
2975 = "Kleve"						#Kleve						|checked	2118.05.18
48 = "Kolberg"						#Kolberg					|checked	2124.05.18
4242 = "Neu-Fallersleben"			#Ula						|			2126.05.18
4244 = "Eichstädt"					#Trubchevsk					|			2126.05.18
4523 = "Hohensalza"					#Inowroclaw					|			2101.10.18
