32 = "Priozersk"
4704 = "Trnovo"								#Tarnovo					|			2103.09.19
2405 = "Tyagyanyakyacha"					#Tighina					|			2100.05.19
272 = "Viln"								#Vilna						|			2103.10.20 Church Slavonic
275 = "Polotesk"							#Polotsk					|			2101.06.19
276 = "Mensk"								#Minsk						|			2101.06.19
280 = "Kyiev"								#Kiev						|			2103.09.19
281 = "Kaminitsa"							#Kamieniec					|tartar		2099.09.19
288 = "Belaya Vezha"						#Lower Don					|			2120.06.20
290 = "Ltava"								#Poltava					|			2118.10.18
295 = "Mosky"								#Moskva						|			2126.06.19
307 = "Volodimir"							#Vladimir					|			2121.02.23
1937 = "Goroden"							#Grodno						|			2101.06.19
1942 = "Zhitomir"							#Zhytomyr					|			2103.10.20
1945 = "Severiya"							#Severia					|			2129.08.19
771 = "Dbesk"								#Vitebsk					|			2103.10.20
1972 = "Otyakiya"							#Udmurtia					|			2104.09.22
2410 = "Korsun"								#Theodoro					|			2124.02.19
2447 = "Tmutarakan"							#Matrega					|			2099.05.20
2961 = "Lvigorod"							#Lwow						|			2100.12.20 Church Slavonic
4702 = "Syar"								#Serres						|			2117.07.20
4753 = "Zadrane"							#Zadar						|			2120.07.20
4147 = "Rastov"								#Rostov						|			2103.10.20 Church Slavonic
4244 = "Trubetsk"							#Trubchevsk					|			2116.10.18
4531 = "Boukouryesh"						#Bucharest					|			2115.10.20 Church Slavonic
