#OTTOMANS PRIMARY (TURKISH)

12 = "Kopenhag"
33 = "Petersburg"
36 = "Tallinn"
39 = "Kurlandiya"
40 = "Neman Nehri"
41 = "Dogu Prusya"
42 = "Ermülke"
43 = "Gdansk"
44 = "Hamkale"
45 = "Lübeçk"
2994 = "Griffon Orman"
2964 = "Tashvadisi"
53 = "Lunakale"
54 = "Bremerliman"
55 = "Oldenhisar"
56 = "Osnaköprü"
57 = "Braunschweig"
59 = "Wittemdag"
62 = "Leipzig"
63 = "Türingiya"
2957 = "Regenskale"
65 = "Münih"
67 = "Nürndag"
69 = "Ravenskale"
70 = "Hara"
71 = "Shifalikuyu"
72 = "Ücretsizkale"
73 = "Innköprü"
74 = "Baden"
75 = "Alsas"
76 = "Tuzhisar"
77 = "Heideldag"
78 = "Mainz"
79 = "Würzkale"
80 = "Trier"
81 = "Markale"
83 = "Çayirhamamlari"
85 = "Kolonya"
86 = "Manastir"
87 = "Kale"
90 = "Bati Flandre"
92 = "Brüksel"
93 = "Liege"
94 = "Lüksemburg"
97 = "Kuzey Hollanda"
101 = "Cenova"
102 = "Nis"
108 = "Birune"
109 = "Mantova"
112 = "Bundukiye"
116 = "Floransa"
118 = "Rum"
120 = "Abruzzo"
121 = "Nablus"
125 = "Balarm"
130 = "Pola"
131 = "Agram"
134 = "Beç"
135 = "Issiz Kale"
136 = "Dalmaçya"
137 = "Dobravenedik"
138 = "Çetince"
140 = "Doboy"
141 = "Semendire"
142 = "Korfu"
4175 = "Iskodra"				#Albania	
144 = "Epir"
145 = "Kalamata"
146 = "Atina"
147 = "Teselya"
3001 = "Üsküb"
4704 = "Tirnova"
151 = "Kostantiniyye"
152 = "Varaždin"
153 = "Budinpeshte"
154 = "Litra"
155 = "Göle"
156 = "Temeshvar"
157 = "Varat"
158 = "Sekelistan"
159 = "Güney Dobruca"
160 = "Krayova"
161 = "Eski Cuma"
162 = "Dogu Slovakya"
163 = "Girit"
164 = "Kiklad Adalari"
165 = "Isviçre"
166 = "Üç Orman Kantonu"
173 = "Beyun"
174 = "Gaskonya"
180 = "Puvatya"
184 = "Orleans"
189 = "Lorraine"
190 = "Burbon"
193 = "Ücretsiz Ilçe"
196 = "Tulus"
202 = "Beni Yunus"
203 = "Liyon"
208 = "Liyun"
209 = "Bask"
210 = "Beskünye"
212 = "Cüründe"
213 = "Berselune"
215 = "Velid'in Shehri"
216 = "Selemenka"
217 = "Mecrit"
218 = "Beytü'l Yevz"
219 = "Tuleytule"
220 = "Belensiye"
221 = "Mürsiye"
222 = "Elmeriye"
223 = "Girnata"
224 = "Sevilya"
225 = "Kurtuba"
226 = "Cebelitarik"
227 = "Üsbune"
230 = "Gerib"
231 = "Uburtu"
4373 = "Derin"
236 = "Londra"
239 = "Köprüyeri"
240 = "Kizilagactepe"
249 = "Ayr Eyalet"
251 = "Aberdin"
252 = "Nesshaliç"
253 = "Dish Hebridler"
254 = "Poz"
257 = "Varsova"
262 = "Krakovi"
263 = "Ratibor"
264 = "Breslau"
265 = "Güney Moravya"
266 = "Prag"
2405 = "Keshene"
271 = "Siaulai"
272 = "Vilnius"
279 = "Volhinya"
280 = "Kiyef"
281 = "Kamaniçe Podolyali"
282 = "Hacibey"
283 = "Sari Kamish"
284 = "Gözleve"
285 = "Kefe"
286 = "Azak"
287 = "Bedügkale"
288 = "Shahti"
289 = "Çernigiv"
290 = "Baltavar"
291 = "Harkobe"
292 = "Mogilyov"
295 = "Moskova"
297 = "Birinçi"
298 = "Kursika"
299 = "Buruninej"
300 = "Tol"
303 = "Saridag"
306 = "Culhula"
309 = "Petrozavod"
313 = "Arhanghel"
318 = "Izmir"
319 = "Mughla"
320 = "On Iki Ada"
321 = "Kibris"
322 = "Kütahya"
323 = "Konya"
324 = "Karaman"
325 = "Kastamonu"
326 = "Ankara"
327 = "Adana"
328 = "Sinop"
329 = "Sivas"
330 = "Trabzon"
331 = "Erzurum"
332 = "Marash"
333 = "Balear Adalari"
334 = "Tanca"
335 = "Meliya"
336 = "Tilimsan"
337 = "Vahran"
338 = "Cezayir"
339 = "Becaye"
340 = "Kosantina"
341 = "Tunus"
343 = "Fas"
344 = "Marakes"
352 = "Kafsa"
353 = "Cerbe"
354 = "Trablusgarp"
355 = "Sirte"
356 = "Bingazi"
2325 = "Matruh"
358 = "Iskenderiye"
359 = "Feyyum"
360 = "Kina"
361 = "Kahire"
362 = "Resid"
363 = "Dimyat"
364 = "Gazze"
365 = "Güney Sina"
366 = "Palmiye"
367 = "Azorlar"
370 = "Reykyavik"
377 = "Halep"
378 = "Trablussham"
379 = "Yahudiye"
380 = "El-Kerak"
382 = "Sham"
383 = "Tebük"
384 = "Medine"
385 = "Mekke"
386 = "Ebha"
387 = "Muha"
390 = "San'a"
391 = "Necran"
392 = "Riyad"
393 = "Hail"
2347 = "Hüfuf"
395 = "Katar"
396 = "Bahreyn"
398 = "Füceyre"
399 = "El Batina"
400 = "Maskat"
401 = "Zufar"
2334 = "Rutbe"
407 = "Rakka"
409 = "Kerbela"
410 = "Bagdat"
411 = "Musul"
412 = "Huzistan"
413 = "Luristan"
415 = "Kerkük"
416 = "Tebriz"
419 = "Erivan"
420 = "Gence"
421 = "Bakü"
423 = "Cildir"
424 = "Erdebil"
425 = "Derbend"
426 = "Amul"
2214 = "Gülistan"
428 = "Farsça Irak"
431 = "Bender Abbas"
432 = "Kirman"
433 = "Yezd"
2233 = "Çabahar"
2221 = "Mechhed"
442 = "Buhara"
447 = "Kandehar"
448 = "Gazne"
449 = "Gur"
450 = "Belh"
451 = "Kâbil"
2127 = "Daglik Badahshan"
453 = "Karshi"
454 = "Semerkant"
455 = "Üçkuduk"
461 = "Almati"
462 = "Batum"
2201 = "Kafkasyahükümdari"
464 = "Haci Tarhan"
473 = "Sümerü"
476 = "Kipçak"
479 = "Kara"
483 = "Türkler Adalari"
504 = "Karaçi"
2052 = "Kathiavar"
2054 = "Gucerat"
524 = "Merkezi Doab"
539 = "Çennay"
540 = "Pondiçeri"
561 = "Kalküta"
667 = "Kanton"
700 = "Sian"
715 = "Urumçi"
739 = "Kasgar"
4903 = "Sikago"
953 = "Vasington"
956 = "Filadelfya"
957 = "Veli"
4872 = "Güzelnehir"
958 = "Pargali"
960 = "Siraküza"
962 = "Kavalalikasaba"
963 = "Osmanli"
965 = "Yeni Manisa"
966 = "Güneysinir"
967 = "Rodos Adasi"
968 = "Göksun"
969 = "Malkoçkale"
2562 = "Uyum"
971 = "Poyracik"
972 = "Murat"
973 = "Ayas"
974 = "Orta Sahil"
975 = "Kitimat"
980 = "Aziz Yuhanna"
981 = "Köshe Dere"
982 = "Breton Burun Adasi"
983 = "Prens Yahya Adasi"
4891 = "Izzed"
985 = "Nisanci"
986 = "Qaspe"
987 = "Aziz Katarina"
988 = "Koca"
989 = "Güzelkasaba"
990 = "Üç Nehir"
991 = "Finike"
4895 = "Müftü"
993 = "Kraliyetdag"
995 = "Yemisçi Körfezi"
996 = "Aziz-Loren-Körfezi"
997 = "Turgut Limani"
998 = "Kale Saimuk"
3262 = "Nisanci Limani"
1000 = "Kale Tiryaki"
1001 = "Meryem Düsher"
1002 = "Altin Vadisi"
1003 = "Geyik Fabrika"
1005 = "Ushak Fabrika"
1006 = "Dervis"
1007 = "Gök Gürültüsü Körfezi"
1008 = "Vinnipeq"
1009 = "Gedik Nehri"
4919 = "Gazi"
1011 = "Pas"
1033 = "Güneysahalin"
1034 = "Kamçatka"
1044 = "Maqadan"
4658 = "Kuzeysahalin"
1049 = "Besharet"
1057 = "Üde"
1062 = "Buryatlar"
1075 = "Tumen"
1099 = "Sokotra"
3259 = "Altin Nehir"
1205 = "Mukdisu"
1212 = "Adal"
1221 = "El Ubeyd"
1230 = "Kuzey Kizildeniz"
1232 = "Sudanli Kizildeniz"
1231 = "Asvan"
1247 = "Korsika"
1744 = "Anvers"
1745 = "Kantebriye"
1746 = "Bürsiye"
1747 = "Kasares"
1748 = "Ceyyan"
1749 = "Kadis"
1750 = "Likant"
1751 = "Septe"
1756 = "Bucak"
1757 = "Amdag"
1758 = "Hanovra"
1759 = "Türk-Pütsdam"
1760 = "Kavsak"
1761 = "Adamev"
1762 = "Türk-Kassel"
1764 = "Burgaz"
1765 = "Sofya"
1766 = "Kosova"
1769 = "Lubyana"
1771 = "Kuzey Bohemya"
1772 = "Pojon"
1773 = "Ballibadra"
1784 = "Tanri Daglari"
1806 = "Salatalik Gölü"
1807 = "Damad"
1812 = "Saribiçak"
2595 = "Prens Ahmet"
1814 = "Alemdar Gölü"
1822 = "Sangay"
1827 = "Yeni Pazar"
1828 = "Banaluka"
1831 = "Trebinye"
1841 = "Marienkale"
1848 = "Isparta"
1849 = "Hama"
2106 = "Dogucetveli"
1851 = "Kulumriye"
1853 = "Bati Makedonya"
3263 = "Birüsseb"
1855 = "Sayda"
1856 = "Abhazya"
1857 = "Lauenkale"
1858 = "Türk-stettin"
1863 = "Gradçe"
1864 = "Peçuy"
1865 = "Dogu Flandre"
1867 = "Lozan"
1868 = "Augshisar"
1869 = "Zürih"
1870 = "St. Safra"
1872 = "Ülm"
1874 = "Bremen"
1876 = "Frankfürt"
1878 = "Ahen"
1882 = "Annabe"
1931 = "Dogu-Friesland"
1940 = "Ilbavli Balçik"
1942 = "Jitomir"
1944 = "Çerkezi"
1945 = "Seber"
1951 = "Erdel Belgradi"
1952 = "Zakarpatya"
1953 = "Debresin"
1954 = "Beçkerek"
1966 = "Çelebi"
1967 = "Hucend"
1971 = "Sarisu"
1974 = "Herson"
1984 = "Irmakkale"
268 = "Suçava"
148 = "Selanik"
4705 = "Bati Trakya"
4706 = "Dobruca"
1217 = "Yukari Nil"
3032 = "Merkez Ekvator"
2005 = "Kraliçe"
2601 = "Büyük Çayir"
3041 = "Beyazat"
2606 = "Karibu"
