#MUSCOVY PRIMARY (RUSSIAN)

30 = "Vyborg"
32 = "Priozersk"
33 = "Sankt-Peterburg"
34 = "Ivangorod"
35 = "Ezel"
37 = "Pernov"
41 = "Kaliningrad"
151 = "Tsargrad"
162 = "Vostochnaya Slovakiya"
272 = "Vilna"
282 = "Odessa"
283 = "Zaporozhye"
284 = "Yevpatoriya"
285 = "Feodosiya"
311 = "Staraya Russa"
312 = "Belozersk"
313 = "Arkhangelsk"
419 = "Erivan"
422 = "Kutaisi"
423 = "Tiflis"
2126 = "Chuyskaya"
461 = "Verniy"
469 = "Ganyushkino"
470 = "Makat"
472 = "Aktubinsk"
478 = "Pavlodar"
726 = "Mukden"
731 = "Shuan'yashan'"
729 = "Khabarovsk"
976 = "Novoarchangelsk"
1033 = "Yuzhny Sakhalin"
1034 = "Petropavlovsk"
4658 = "Severny Sakhalin"
1049 = "Blagoveshchensk"
1050 = "Susanino"
1057 = "Verkhneudinsk"
1058 = "Chita"
1080 = "Serov"
1777 = "Murmansk"
1834 = "Yur'yev"
2106 = "Vladivostok"
1851 = "Koimbra"
1936 = "Kovno"
1945 = "Novgorod-Seversky"
1952 = "Zakarpatskaya"
1955 = "Belomorsk"
1969 = "Chimkent"
1974 = "Kherson"
2196 = "Batum"
2349 = "Krasnovodsk"
2370 = "Kungrad"
2365 = "Aleksandrov-Gay"
2351 = "Chelkar"
2353 = "Ayke"
2361 = "Golodnaya Step"
2354 = "Ereymentau"
2104 = "Raychikhinsk"
1048 = "Nikolaevsk-na-Amure"
2186 = "Spassk-Dalny"
1850 = "Dalnegorsk"
2406 = "Nikolayev"
2410 = "Sevastopol"
2412 = "Mariupol"
2411 = "Yekaterinoslav"
2413 = "Donetsk"
2414 = "Novocherkassk"
2409 = "Lugansk"
2658 = "Asua"
767 = "Chernyakhovsk"
2433 = "Kainsk"
2434 = "Altai Krai"
1066 = "Respublika Altai"
2440 = "Anadyrsky"
4214 = "Permskoye"
4215 = "Amursk"
4216 = "Vanino"
4217 = "Pozharsky"
4534 = "Ponevezh"
4535 = "Vilkomir"
4655 = "Postyshevsky"
4656 = "Terneysky"
2103 = "Tuguro-Chumikansky"
4659 = "Verkhnebureinsky"
4662 = "Svobodny"
4688 = "Barabinsk"
4692 = "Sergeyevka"

39 = "Kurlyandiya"
40 = "Klaypeda"
41 = "Kaliningrad"
42 = "Varminsko"
43 = "Dantsig"
44 = "Gamburg"
45 = "Lyubek"
2996 = "Shverin"
2994 = "Vol'gast"
51 = "Rubinska"
2964 = "Kamennayadolina"
53 = "Legkoye"
54 = "Bremenskaya Gavan'"
55 = "Oldenbursk"
56 = "Osnabryuk"
57 = "Brunswizka"
58 = "Dessov"
59 = "Vittensbersk"
60 = "Bauttsen"
61 = "Drezden"
62 = "Levtsyg"
63 = "Tyuringiya"
65 = "Myunkhen"
67 = "Nyurnbersk"
70 = "Konyushennysad"
71 = "Istseleniyekolodets"
72 = "Svobodburg"
73 = "Inomost"
74 = "Kupat'sya"
75 = "El'zas"
76 = "Zal'tsbursk"
77 = "Kozelgora"
78 = "Maynts"
79 = "Vyurtsburg"
80 = "Trir"
84 = "Dyussel'dorf"
85 = "Kel'n"
86 = "Myunster"
87 = "Kal"
88 = "Araska"
89 = "Pikardiya"
90 = "Zapadnaya Flandriya"
92 = "Bryussel'"
93 = "L'yezh"
94 = "Lyuksembursg"
97 = "Severnaya Gollandiya"
98 = "Utrekht"
101 = "Genuya"
256 = "Stuchat"
257 = "Varshava"
258 = "Seradz"
259 = "Sandomir"
260 = "Lyublin"
261 = "Ternopol'"
262 = "Krakov"
263 = "Ratyborsk"
265 = "Yuzhno-Moraviya"
266 = "Praga"
267 = "Pl'zenska"
2405 = "Kishinyov"
269 = "Podlyaskoye"
270 = "Troki"
271 = "Shavli"
1775 = "Kil'"
1858 = "Shchetsin"
1859 = "Cholmska"
1935 = "Zemgale"
1938 = "Vizna"
1982 = "Beklinska"
3249 = "Beltsy"

#Canada
972 = "Bibikov Ostrov"
973 = "Bibikov"
974 = "Bela Kula"
975 = "Kitamat"
980 = "Svyatoy Ioann"
981 = "Uglovoy Ruchey"
982 = "Kabo Breton Ostrov"
983 = "Knyaz Ivan Ostrov"
984 = "Vyborg"
4891 = "Gagarin"
985 = "Yeletsky"
986 = "Gaspeskiy Poluostrov"
987 = "Moskva"
988 = "Chernigovets"
989 = "Pyotrgrad"
990 = "Tri Reki"
991 = "Kamen'"
4895 = "Lavrentiyskiye"
993 = "Korolevskogora"
994 = "Kvebek"
995 = "Dubenskiy Zaliv"
996 = "Sv. Lavrentiy Zaliv"
997 = "Port Ermolov"
998 = "Krepost' Saymuk"
3262 = "Port Maksimov"
1000 = "Krepost' Aleksandr"
1001 = "Porog Marii"
1002 = "Zolotaya Dolina"
1003 = "Faktoriya Los'"
1004 = "Attavapiskat"
1005 = "Ushakov"
1006 = "Schuvalov"
1007 = "Grom Zaliv"
1008 = "Vinipeg"
1009 = "Reka Sytyenyatvev"
1010 = "Portidzh-la-Preri"
4919 = "Vasilyevitiy"
1011 = "Pa"
1805 = "Mistasini"
1806 = "Ozero Ogurets"
1807 = "Rayevsky"
1811 = "Shein Zaliv"
1812 = "Zheltonozh"
1813 = "Nipavin"
2595 = "Knyaz Al'bert"
1814 = "Leshchinagorod"
2005 = "Koroleva"
2601 = "Reka Mira"
3041 = "Beloloshad'"
3042 = "Kaniapisko"
2606 = "Ozero Vil'gel'm"
2004 = "Shlyapa Meditsiny"
2597 = "Saskatun"
2018 = "Skalistye Gory Dom"
2003 = "Kutaney"
2012 = "Vostok"
2017 = "Nipigan"
2017 = "Strogino"
2022 = "Khayda"
2568 = "Solikamsk"
2569 = "Kostroma"
2570 = "Svyatoy Ioann"
2571 = "Velikiye Vodopady"
2572 = "Petrov"
2582 = "Nizhniy Svyatoy Lavrentiy"
2583 = "Shod'yer"
2584 = "Astrakhan"
2585 = "Davenda"
2580 = "La Tuque"
2579 = "Sageney"
2577 = "Sem' Ostrovov"
2576 = "Svyatoy Pyotr Zaliv"
2578 = "Antikosti"
2573 = "Mariigorod"
2575 = "Gus' Zaliv"
2581 = "Mariigorod"
2586 = "Milyutin"
2587 = "Bibikovskiye Vorota"
2588 = "Okladnikov"
4892 = "Otava"
2671 = "Chelyuskiye Vorota"
992 = "Dezhnev"
2589 = "Baryatiskiy"
2590 = "Kapuskeising"
999 = "Krepost' Georgiy"
2592 = "Krepost' Lena"
2594 = "Syeremetyev"
2596 = "Tsaritsyngorod"
2598 = "Bystroye Techeniye"
#Kindersley = "Tolstoy"
2599 = "Krepost' Chipauaiyan"
2600 = "Krepost' Kinovar"
2602 = "Digora"
2603 = "Krepost' Ioann"
2604 = "Gavriil-Krepost' Georgiy"
2605 = "Dom Ruch'ya Most"
2607 = "Kamlups"
2609 = "Knyaz Vasiliy"
2610 = "Reka Sergiy"
3099 = "Krepost' Kasimovskiy"
3107 = "Tolstoy"
3108 = "Aklavik"
3109 = "Orenburg Zaliv"
3110 = "Krepost' Kovalyov"
3111 = "Mednayashakhta"
4890 = "Atbasar"
4893 = "Tsentral'niy Kvebek"
4894 = "Temiskaming"
4896 = "Fridrikhgorod"
4897 = "Severniy Zaliv"
