#CASTILE PRIMARY (SPANISH)

1 = "Estocolmo"
12 = "Copenhague"
14 = "Fionia"
25 = "Gotlanda"
28 = "Hels?nquia"
33 = "San Petersburgo"
36 = "Tallin"
39 = "Curlandia"
41 = "Prusia Oriental"
42 = "Varmia"
43 = "D?nzig"
44 = "Hamburgo"
45 = "Lubeca"
2996 = "Suerina"
2994 = "Selva Grifo"
2995 = "Stolpa"
50 = "Berl?n"
2964 = "Valle de Piedra"
53 = "Luneburgo"
55 = "Oldemburgo"
56 = "Osnapuente"
57 = "Brunsvique"
59 = "Wittenmonta?a"
61 = "Dresde"
62 = "Lipsia"
63 = "Turingia"
2957 = "Ratisbona"
65 = "M?nich"
67 = "N?remberg"
69 = "Ravensburgo"
70 = "Estucardia"
72 = "Friburgo"
75 = "Alsacia"
76 = "Salzburgo"
78 = "Maguncia"
79 = "Wurzburgo"
80 = "Tr?veris"
81 = "Marburgo"
84 = "Dusseld?rfia"
85 = "Colonia"
86 = "Mu?iste"
88 = "Artesia"
89 = "Picard?a"
90 = "Flandes Occidental"
92 = "Bruselas"
93 = "Lieja"
94 = "Luxemburgo"
96 = "Zelanda"
97 = "Holanda Septentrional"
98 = "Utreque"
100 = "Frisia"
101 = "G?nova"
102 = "Niza"
103 = "Tur?n"
104 = "Mil?n"
106 = "M?dena"
109 = "Mantua"
111 = "ùdine"
112 = "Venecia"
114 = "R?vena"
116 = "Florencia"
117 = "Sena"
118 = "Roma"
120 = "Abruzos"
121 = "N?poles"
122 = "Tarento"
123 = "Regols"
124 = "Missina"
127 = "C?ller"
129 = "Marburgo"
130 = "ùstria"
132 = "Jud?oburgo"
134 = "Viena"
136 = "Dalmacia"
138 = "Ceti?a"
139 = "M?star"
142 = "Corf?"
144 = "Epiro"
146 = "Atenas"
147 = "Tesalia"
149 = "Adrian?polis"
4704 = "T?rnovo"
151 = "Constantinopla"
156 = "Temexburgo"
163 = "Creta"
165 = "Berna"
166 = "Lucerna"
167 = "Sena Mar?timo"
169 = "Costas del Norte"
170 = "Finisterre"
172 = "Loira"
173 = "Labort"
174 = "Gascu?a"
175 = "Arma?ac"
176 = "Bearne"
178 = "Anjeo"
180 = "Poit?"
183 = "Par?s"
184 = "Orleanesado"
189 = "Lorena"
190 = "Borbon?s"
193 = "Franco Condado"
194 = "Dordo?a"
195 = "Lemos?n"
196 = "Tolosa"
197 = "Rosell?n"
198 = "Ruergùe"
199 = "Auvernia"
200 = "Lenguadoc"
201 = "Provenza"
202 = "Condado Venaissin"
203 = "Le?n de Francia"
204 = "Delfinado"
205 = "Saboya"
212 = "Gerona"
220 = "Valencia"
221 = "Murcia"
222 = "Almer?a"
223 = "Granada"
225 = "C?rdoba"
226 = "Gibraltar"
231 = "Oporto"
232 = "Braganza"
4373 = "Profundo"
235 = "Cantu?ria"
236 = "Londres"
238 = "Sajones del Este"
239 = "Lugar de Puente"
240 = "Colina del Aliso"
244 = "M?nchester"
246 = "Nuevocastillo"
247 = "C?mbria"
248 = "Corrienteoscura"
249 = "Condado de Ayr"
252 = "Estuario Ness"
253 = "Islas H?bridas"
257 = "Varsovia"
261 = "Tern?pol"
262 = "Cracovia"
264 = "Breslavia"
267 = "Pilsen"
269 = "Pendiente Blanca"
272 = "Vilna"
273 = "Letgalia"
275 = "P?lat"
279 = "Volinia"
280 = "Qu?ev"
282 = "Yedis?n"
283 = "Zaporiyia"
285 = "Feodosia"
289 = "Chern?gov"
291 = "J?rcov"
292 = "Maguilov"
295 = "Mosc?"
313 = "Arj?ngel"
318 = "Esmirna"
14444 = "Halicarnaso"
320 = "Dodecaneso"
321 = "Chipre"
326 = "Angora"
330 = "Trebisonda"
333 = "Mallorca"
334 = "T?nger"
336 = "Tremec?n"
337 = "Or?n"
338 = "Argel"
339 = "Bug?a"
344 = "Marruecos"
346 = "Errachid?a"
348 = "Suz"
354 = "Tr?polis"
358 = "Alejandr?a"
363 = "Puerto Said"	
367 = "Azores"
369 = "Islas Orcadas"
370 = "Reiquiavic"
372 = "El Anfitri?n"
373 = "Dubl?n"
377 = "Alepo"
378 = "Tr?poli"
382 = "Damasco"
423 = "Tiflis"
464 = "Astraj?n"
481 = "Berm?dez"
483 = "Islas Turcas"
484 = "La Habana"
485 = "Ciego de ùvila"
488 = "Salvatierra"
489 = "Noroeste"
490 = "Santo Domingo"
491 = "Curaci?n"
494 = "San Mart?n"
497 = "Guadalupe"
499 = "Martinica"
607 = "Pulo Cambi"
667 = "Cant?n"
716 = "Tuv?"
746 = "Cayena"
779 = "Mar del Plata"
782 = "Puerto Williams"
783 = "Punta Arenas"
784 = "Concepci?n"
787 = "Santiago"
790 = "Chaco"
2940 = "Tupiza"
2941 = "San Pedro"
799 = "Alta Paraguay"
800 = "San Ignacio de Velasco"
802 = "La Paz"
803 = "Trinidad"
805 = "Tacna"
806 = "Ica"
808 = "Cusco"
810 = "Ayacucho"
812 = "Trujillo"
823 = "Cali"
824 = "Manizales"
825 = "Bogot?"
826 = "Quibd?"
828 = "Cartagena"
832 = "Boyac?"
2812 = "Arauca"
836 = "San Jos?"
837 = "Le?n"
838 = "Puerto Cabezas"
839 = "El Salvador"
840 = "Trujillo"
841 = "Retalhuleu"
844 = "Juchit?n"
846 = "Tizim?n"
847 = "Puerto Escondido"
848 = "Poza Rica"
849 = "Acapulco"
2624 = "Uruapan"
853 = "Pachuca"
854 = "Tepic"
855 = "Mazatl?n"
856 = "Fresnillo"
857 = "San Luis Potos?"
858 = "Victoria"
859 = "Culiac?n"
860 = "Ciudad Lerdo"
861 = "Monclova"
862 = "Hermosillo"
863 = "Ju?rez"
864 = "Chihuahua"
865 = "Santa Rosalia"
866 = "La Paz"
868 = "Los Angeles"
869 = "Monterrey"
872 = "R?o de Aguilar"
873 = "R?o de San Roque"
874 = "Fidalgo"
876 = "F?nix"
880 = "Santa Fe"
881 = "Las Cruces"
883 = "San Antonio"
884 = "La Bahia"
885 = "Llano Estacado"
886 = "Fuerte Teodoro"
4910 = "Hueco"
888 = "Galvezton"
889 = "Liberal"
890 = "Quivira"
893 = "Nueva Orleans"
894 = "Ecore Fabri"
895 = "San Carlos"
897 = "Cuadrante"
898 = "Topica"
899 = "Campo Manantial"
900 = "San Luis"
901 = "Plato del Norte"
4915 = "Ruano"
902 = "Cavagnial"
903 = "Lisa"
905 = "Ciudad David"
2513 = "De los Monjes"
906 = "Farengo"
907 = "Cataratas Siux"
908 = "San Clodoaldo"
2512 = "Estruch"
909 = "Bismarck"
910 = "Dos Puertos"
2517 = "Dulhut"
911 = "Mixilimaquinac"
912 = "Uoso"
913 = "Prado del Perro"
914 = "La Bahia"
915 = "Vado de Roca"
4903 = "Xicago"
917 = "Campo Manantial"
916 = "Rompecoraz?n"
918 = "Barancas"
920 = "Meridiano"
921 = "Baton Rouge"
922 = "Mauvila"
923 = "Panzacola"
924 = "Elche"
925 = "Dot?n"
926 = "Santa Luc?a"
927 = "San Mateo"
928 = "San Marcos"
929 = "Santa Catalina"
930 = "Puesto de Caouitas"
931 = "Roma"
2540 = "Atl?nta"
932 = "Fort Carlos"
933 = "Santo Tom?s"
934 = "Ciudad Coox"
939 = "Ciudad Rodr?guez"
935 = "San Pedro"
936 = "San Juan de Xuala"
4879 = "San Pablo"
937 = "Espinosa"
938 = "R?o del Pr?ncipe"
4887 = "Paduca"
940 = "Ciudad Luis"
941 = "Castilla"
942 = "Suelo Elevado"
4922 = "Fort Bu?uel"
944 = "Estrecho"
945 = "Gran Traves?a"
946 = "Toledo"
947 = "Ruano"
948 = "Ciudad Sanes"
4907 = "Col?n"
949 = "Roanoc"
950 = "Asturias"
951 = "Ciudad Carlos"
952 = "Retiro"
953 = "Almendralejo"
954 = "Pen?nsula"
955 = "Herizburgo"
956 = "Filadelfia"
957 = "Debalboa"
4871 = "Monpeller"
4873 = "Ciudad Agricola"
958 = "Pizarro"
