#COPY TO TURKO-SEMITIC

33 = "Sant Bitarsburg"
43 = "Danzigh"
45 = "Lubiyk"
53 = "Lunburgh"
57 = "Braunshfaigh"
59 = "Maysen"
62 = "Laibzigh"
78 = "Maynts"
85 = "Kuluniya"
87 = "Kaliyh"
93 = "Liyj"
94 = "Luksamburgh"
101 = "Jenwah"
102 = "Nis"
103 = "Biimuntiy"
104 = "Milanu"
105 = "Barma"
106 = "Mudina"
107 = "Brisha"
108 = "Firuna"
109 = "Mantufa"
110 = "Trintinu"
112 = "Al-Bunduqiya"
113 = "Firara"
114 = "Rafina"
115 = "Biza"
116 = "Filuransa"
117 = "Siyna"
118 = "Rumiya"
119 = "Ankun"
120 = "Abrutsu"
121 = "Nabuli"
123 = "Rivah"
124 = "Mesinah"
125 = "Balharm"
127 = "Kaliariy"
129 = "Maribur"
130 = "Istriya"
131 = "Zaghrib"
133 = "Lints"
136 = "Dalmasiya"
137 = "Raghuza"
138 = "Setuniy"
139 = "Mustar"
142 = "Kurfu"
4175 = "Ishqudrah"
144 = "Ibyrus"
145 = "Kalamata"
146 = "Atina"
147 = "Thisaliya"
3001 = "Skubiy"
149 = "Adirnah"
4704 = "Tarnufu"
151 = "Al-Qustantiniyah"
153 = "Budabist"
156 = "Timishuara"
159 = "Dubruja Al-Janub"
160 = "Krayufa"
161 = "Tirjufysht"
163 = "Iqritish"
164 = "Syklads"
165 = "Birn"
196 = "Tuluz"
198 = "Afirun"
200 = "Langhiduk"
201 = "Brufans"
202 = "Afiniyun"
203 = "Liyun"
204 = "Dufiniy"
206 = "Al-Kurunya"
208 = "Liyun"
210 = "Banbaluna"
211 = "Wasqah"
212 = "Garundah"
213 = "Barshaluna"
214 = "Saraqusta"
215 = "Balad al-Walid"
216 = "Salmanika"
217 = "Majrit"
218 = "Batalyaws"
219 = "Tulaytullah"
220 = "Balansiyah"
221 = "Mursiya"
222 = "Al-Mariya"
223 = "Garnatah"
224 = "Isbiliya"
225 = "Qurtubah"
226 = "Jabal Tariq"
227 = "Al-Isbunah"
228 = "Al-Qal'at Al-Bayda"
229 = "Baja"
230 = "Al-Gharb"
231 = "Burtuqal"
236 = "Landan"
239 = "Makan Al-Jisr"
251 = "Abardin"
262 = "Krakuf"
273 = "Sesis"
280 = "Kiyif"
289 = "Tshernighuf"
291 = "Kharkuf"
295 = "Musku"
305 = "Wisu"
316 = "Izmid"
317 = "Khedavendekar"
319 = "Mughla"
320 = "Dudikanisya"
321 = "Qubrus"
322 = "Kutahyah"
323 = "Qunyah"
324 = "Karaman"
325 = "Qastamuniy"
326 = "Anqarah"
327 = "Adnah"
328 = "Sinub"
330 = "Trabzun"
331 = "Ard Ar-Rum"
332 = "Marash"
333 = "Mayurqa"
334 = "Tanjah"
336 = "Tilimsan"
337 = "Wahran"
338 = "Al-Jaza'ir"
339 = "Bijayah"
340 = "Qusantinah"
341 = "Tunis"
2469 = "Ar-Ribat"
343 = "Fas"
344 = "Murrakush"
345 = "Asfi"
346 = "Ar-Rashidiyah"
349 = "Fakik"
350 = "Laghwat"
352 = "Gafsa"
353 = "Gabis"
354 = "Tarabulus"
355 = "Surt"
356 = "Banghazi"
2325 = "Mersa Matruh"
358 = "Iskandariya"
359 = "Fayyum"
360 = "Qina"
361 = "Qahirah"
362 = "Rashid"
363 = "Dumyat"
364 = "Shamal Sina'"
365 = "Janub Sina'"
368 = "Madira"
377 = "Halab"
378 = "Tarabulus"
379 = "Yahudia"
382 = "Dimashq"
384 = "Al-Madinah"
385 = "Makkah"
387 = "Al-Makha"
388 = "'Adin"
2343 = "Say'un"
392 = "Ar-Riyad"
2347 = "Al-Hufuf"
396 = "Al-Bahrayn"
397 = "Dubay"
398 = "Al-Fujairah"
400 = "Masqat"
401 = "Zufar"
403 = "Nizwa"
407 = "Ar-Raqqah"
408 = "Al-Basrah"
411 = "Al-Mawsil"
412 = "Ahwaz"
413 = "Lurstan"
414 = "Hamdan"
415 = "Karkuk"
418 = "Diyar Bakr"
419 = "Yirifan"
420 = "Janza"
421 = "Bakuyah"
423 = "Tiflis"
425 = "Bab al-Abwab"
2214 = "Gholestan"
429 = "Ispahan"
431 = "Jamrun"
437 = "Qal'at Al-Hamra'"
438 = "Dirwiz"
439 = "Aktaw"
2225 = "Aruzkan"
2233 = "Jabahar"
441 = "Yanbue Al-Hajar"
442 = "Madinah Al-Sufriya"
447 = "Qandahar"
448 = "Ghaznah"
454 = "Samarqand"
455 = "Awtshkuduk"
456 = "Masjid Al-Abyad"
457 = "Ash-Shash"
458 = "Khovakand"
460 = "Awsh"
461 = "Wafiy"
462 = "Batum"
463 = "Armafir"
465 = "Atiraw"
2201 = "Hakimqawqaz"
2202 = "Qahr Bagh"
2203 = "Talwi"
469 = "Iyraniy"
471 = "Karawilkildy"
472 = "Aktuby"
473 = "Samur"
474 = "Awral"
477 = "Balkhash"
478 = "Al-Tali Al-Abyad"
484 = "Hafana"
485 = "Abila"
486 = "Ghwantanamu"
487 = "Jamaika"
489 = "Ghunayif"
495 = "Al-Battani"
496 = "Atiq Al-Ziy"
499 = "Martinik"
500 = "Yusuf"
501 = "Multah"
502 = "Thaluth"
507 = "Luhar"
575 = "Kwadar"
576 = "Qalat"
577 = "Kwita"
578 = "Parashawar"
710 = "Khutan"
711 = "Tshymu"
712 = "Aqsu"
713 = "Hisn Al-Sabi"
715 = "Awrumtshiy"
716 = "Tufa"
739 = "Kashghar"
743 = "Benzine"
744 = "Dimirara"
839 = "Al-Munqadh"
872 = "Zubayr"
873 = "Ard Al-Mina'"
874 = "Siatil"
889 = "Libralia"
890 = "Wytshita"
893 = "Awrlyan Al-Jadida"
894 = "Nessim"
