#BOHEMIA PRIMARY (CZECH)

265 = "Jihomoravský"
266 = "Praha"
267 = "Šumava"
1771 = "Severoceský"

#Canada
972 = "Karel"
973 = "Zelezný"
974 = "Stredopobreží"
975 = "Kitimat"
980 = "Svatý Jan"
981 = "Rohový Potok"
982 = "Kapbreton"
983 = "Princ Johan Ostrov"
4891 = "Zívr"
985 = "Tomášek"
987 = "Svatá Katuška"
988 = "Píka"
989 = "Krásnémesto"
990 = "Tri Reky"
991 = "Krumlov"
4895 = "Odra"
993 = "Královskáhora"
995 = "Otradovic Záliv"
996 = "Svatý-Vavrinec-Záliv"
997 = "Rezek Prístav"
998 = "Saimukhrad"
3262 = "Slovak Prístav"
1000 = "Strnadhrad"
1001 = "Pády Marie"
1002 = "Údolí Zlata"
1003 = "Faktorie Los"
1005 = "Faktorie Ostrava"
1006 = "Brandýsa"
1007 = "Hrom Záliv"
1009 = "Reka Veleslavína"
4919 = "Rozmitálu"
1011 = "Pas"
1806 = "Okurka Jezero"
1807 = "Harant"
1812 = "Žlutánuž"
2595 = "Princ Premysl"
1814 = "Zajíc Jezero"
2005 = "Královna"
2601 = "Velká Louka"
3041 = "Bílýkun"
2606 = "Karibu"
2004 = "Braník"
2018 = "Gryf"
2003 = "Východní Kutenajowie"
2012 = "Východní"
2017 = "Brezineves"
2568 = "Vodnímost"
2569 = "Kladno"
2570 = "Bedríšekmesto"
2571 = "Obrovský Vodopády"
2572 = "Berger"
2582 = "Dolní-Svatý-Vavrinec"
2583 = "Appalachské"
2584 = "Staré Místo"
2580 = "Syrový"
2577 = "Sedm-Rek"
2576 = "Svatý-Petr-Záliv"
2573 = "Mariamesto"
2575 = "Husa Záliv"
2586 = "Vartemberka"
2587 = "Úžina Svamberka"
4892 = "Otava"
2671 = "Úžina Mansfeld"
2589 = "Reiner"
999 = "Hlavacekhrad"
2592 = "Vltavahrad"
2594 = "Purkyne"
2596 = "Polzic"
2598 = "Rychlý Proud"
#Kindersley = "Husi"
2599 = "Cipevajanéhrad"
2600 = "Rumelkovýhrad"
2602 = "Velkáhlava"
2603 = "Jezero Otroku"
2604 = "Princ Jirí"
2605 = "Lososová Rameno"
2607 = "Sokol Mikoláš"
2609 = "Princ Václav"
3099 = "Kolárhrad"
3107 = "Palach"
3109 = "Šumperk Záliv"
3110 = "Zmatlíkováhrad"
3111 = "Medenýdul"

#USA
956 = "Filadelfie"
957 = "Matuška"
4872 = "Buvol"
958 = "Vávra"
960 = "Syrakusy"
962 = "Olbrichmesto"
963 = "Morava"
965 = "Nový Karlovy Vary"
966 = "Hanušovice"
967 = "Rhodu Ostrov"
968 = "Chomutov"
969 = "Bataburk"
2562 = "Svornost"
971 = "Odry"
2010 = "Jilemnice"
4876 = "Bruner-Dvorák"
2639 = "Novarcha"
2558 = "Frýdek-Místek"
2560 = "Nový Port"
2561 = "Pardubice"
2559 = "Šeredováburk"
2564 = "Libanon"
970 = "Most"
2013 = "Anezka"

#Slovakia
154 = "Zvolen"
162 = "Východoslovenský"
1772 = "Bratislava"
1318 = "Stredoslovenský"
#Italy
101 = "Janov"
103 = "Turín"
104 = "Milán"
109 = "Mantova"
111 = "Videm"
112 = "Benátky"
116 = "Florencie"
118 = "Rím"
121 = "Neapol"
2982 = "Syrakusy"
4738 = "Terst"
#Austria
73 = "Innomostí"
76 = "Salcbursko"
128 = "Celovec"
132 = "Židéburk"
133 = "Linec"
134 = "Víden"
1768 = "Línec"
1770 = "Kremže"
1863 = "Hradsko"
4710 = "Vorarlbersko"
4759 = "Belák"
4760 = "Brunov"
4761 = "Štýr"
4762 = "Svatý Hippolyt"
#Poland
42 = "Varmie"
43 = "Gdansk"
2995 = "Slupsk"
49 = "Velkopolský Horov"
254 = "Poznan"
255 = "Kališ"
257 = "Varšava"
259 = "Sandomer"
262 = "Krakov"
263 = "Ratibor"
264 = "Vratislav"
269 = "Belostok"
1858 = "Štetín"
1939 = "Lodž"
2997 = "Skarszewy"
2424 = "Premyšl"
2963 = "Bydhošt"
48 = "Kolobreh"
2966 = "Hlohov"
3100 = "Szczytno"
2960 = "Nový Sadec"
2959 = "Tarnov"
4723 = "Opolí"
4747 = "Drawsko Pomorskie"
