#WELSH PRIMARY
#COPY TO CELTIC

87 = "Caled"
89 = "Picardeye"		#Picardie
90 = "Flandrys"			#Vlaanderen
118 = "Rhufain"
168 = "Catumagos"
169 = "Aodoù-an-Arvor"
170 = "Penn-ar-Bed"
171 = "Môr Bychan"
172 = "Liger"
174 = "Gasgwyn"			#Gascogne	
234 = "Trefpentrefdeheuo"
235 = "Caint"
236 = "Llundain"
237 = "Rhydychen"
238 = "Dwyrain Sacsoniaid"
239 = "Caerodor"
241 = "Caerdydd"
253 = "Ynysoedd Allanol Heledd"
366 = "Y Palmwydd"
367 = "Asores"
370 = "Reykjavík"
372 = "Y Gwesteiwr"
373 = "Dulyn"
374 = "Loch Garman"
4118 = "Corc"
376 = "Gaillimh"
1247 = "Ynys Cors"
1744 = "Antwerp"
1095 = "Ynysoedd y Falklands"
1096 = "Penrhyn Verde"
1098 = "Saint Helena"
1979 = "Ffaro"
4380 = "Dún na nGall"
4377 = "Cill Chainnigh"
4378 = "Chiarraí"
4379 = "An Muileann gCearr"

240 = "Amwythig"
241 = "Glamorgan" 
242 = "Y Rhyl"
243 = "Swydd Lincoln"
244 = "Swydd Gaerhirfryn"
245 = "Lloed"
246 = "Castellnewydd"
247 = "Cwmry"
248 = "Lleuddiniawn"
249 = "Alclud"
250 = "Dun Dè"
251 = "Aberdon"
252 = "Aber Ness"
369 = "Ynysoedd Erch"
1816 = "Pecin"			#Beijing		 
1860 = "Ecen"
1861 = "Derwent"

#Canada
972 = "Ynys Bennett"
973 = "Bennett"
974 = "Bely Cwly"
975 = "Citymat"
980 = "Sant Ioan"
981 = "Nant Cornel"
982 = "Penrhyn Llydaweg"
983 = "Ynys Ioan"
984 = "Truru"
4891 = "Payne"
985 = "Owen"
986 = "Penrhyn Gaspe"
987 = "Lowonidonjon"
988 = "Llanidan"
989 = "Gaer Pedr"
990 = "Tair Afon"
991 = "Y Dyffryn"
4895 = "Lawrensaidd"
993 = "Mynyddbrenhinol"
994 = "Cwibec"
995 = "Bae Llandinam"
996 = "Gwlff y Sant Lawrence"
997 = "Porth Cadwaladr"
998 = "Gaer Saimuc"
3262 = "Porth Harries"
1000 = "Gaer Llywelyn"
1001 = "Cwympiadau"
1002 = "Dyffryn Aur"
1003 = "Garfan Elc"
1004 = "Atywapiscat"
1005 = "Cadfael"
1006 = "Cadfan"
1007 = "Bae Taenau"
1008 = "Winipeg"
1009 = "Afon Oswiu"
1010 = "Portage la Prairie"
4919 = "Osric"
1011 = "Y Pa"
1806 = "Llyn Ciwcymbr"
1807 = "Adda"
1811 = "Cilfach Cadoc"
1812 = "Cyllellmelyn"
2595 = "Tywysog Albert"
1814 = "Tref Cyll"
2005 = "Frenhines"
2601 = "Afon Hedd"
3041 = "Ceffylgwyn"
3042 = "Caniypiscow"
2606 = "Llyn Gwilym"
2004 = "Het Meddyginiaeth"
2597 = "Sascytwn"
2018 = "Ty Mynyddoedd"
2003 = "Cwtynei"
2012 = "Ddwyrain"
2015 = "Nipigyn"
2017 = "Llaneirwg"
2022 = "Haidy"
2568 = "Garienn"
2569 = "Porth Tywyn"
2570 = "Sant Ioan"
2571 = "Rhaeadrau Mawr"
2572 = "Rheon"
2582 = "Sant Lawrence Is"
2583 = "Chaudiere"
2584 = "Lonydd Croes"
2585 = "Corwen"
2580 = "La Tuque"
2579 = "Sagynei"
2577 = "Saith Ynys"
2576 = "Bae Sant Pedr"
2573 = "Tref Mair"
2574 = "Nwnatsiyfwt"
2575 = "Bae Gei"
2581 = "Tref Mair"
2586 = "Flanagan"
2587 = "Gyfyng Owain"
2588 = "Iago"
4892 = "Otywa"
2671 = "Gyfyng Humphrys"
992 = "Dyfed"
2589 = "Coueran"
2590 = "Capwsceising"
999 = "Gaer Siôr"
2592 = "Gaer Hafren"
2594 = "Tamhais"
2596 = "Tref Efrog"
2598 = "Li Cyflym"
#Kindersley = "Ida"
2599 = "Gaer Tsipywaiyn"
2600 = "Gaer Fermiliwn"
2602 = "Cala Ghearraidh"
2603 = "Gaer Sant Ioan"
2604 = "Maredudd-Gaer Siôr"
2605 = "Ty Bont y Gilfach"
2607 = "Camlwps"
2609 = "Tywysog Dafydd"
2610 = "Afon Hywel"
3099 = "Gaer Dyfed"
3107 = "Gryffyth"
3108 = "Yclafic"
3109 = "Bae Caer Grauth"
3110 = "Gaer Gobha"
3111 = "Mwynglawddcopr"
4890 = "Penfro"
4893 = "Canolbarth Cwibec"
4896 = "Tref Ffredrig"
4897 = "Bae Gogleddol"
4920 = "Estevan"
4927 = "Cwrlwctwc"

#USA
872 = "Owain"
873 = "Tirporthladd"
874 = "Siatyl"
889 = "Rhyddfrydol"
890 = "Witsito"
