#ACEH PRIMARY (INDONESIAN)

593 = "Negara Sri Dharmaraja"
596 = "Melaka"
617 = "Banda Aceh"
4810 = "Medan"
2681 = "Pagarruyung"
620 = "Pekanbaru"
621 = "Bengkulu"
2695 = "Timor Timur"
644 = "Sulawesi Utara"
1245 = "Kepala Burung"
1789 = "Jayapura"
635 = "Timor Barat"
1016 = "Lin-yi"
2391 = "Tanjung Salang"
2673 = "Lhokseumawe"
2674 = "Idi Rayeuk"
2685 = "Tapaktuan"
619 = "Sibolga"
618 = "Rantau Prapat"
2682 = "Pariaman"
2680 = "Mukomuko"
2718 = "Fakfak"
2723 = "Merauke"
4349 = "Santa Cruz"
642 = "Kabupaten Luwu"
4799 = "Kabupaten Kutai"
4845 = "Sulawesi Barat"

#Canada
972 = "Pulau Agung"
973 = "Agung"
975 = "Kitemat"
980 = "Santo Yohanes"
981 = "Pojok Sungai"
982 = "Pulau Tanjung Breton"
983 = "Pulau Pangeran Yohan"
984 = "Teladan"
4891 = "Saleh"
985 = "Samadikun"
986 = "Semenanjung Gaspe"
987 = "Jakarta"
988 = "Dhien"
989 = "Kota Petrus"
990 = "Tiga Sungai"
991 = "Tungkal"
4895 = "Pegunungan Laurensius"
993 = "Gunungkerajaan"
994 = "Kwibek"
995 = "Teluk Saphira"
996 = "Teluk Santo Laurensius"
997 = "Bandar Sastrowardoyo"
998 = "Benteng Saimuk"
3262 = "Bandar Surya"
1000 = "Benteng Mangkubumi"
1001 = "Riam Maria"
1002 = "Lembah Emas"
1003 = "Fraksi Rusa Besar"
1004 = "Atewapiskat"
1005 = "Ilam"
1006 = "Mukhtar"
1007 = "Teluk Guntur"
1008 = "Winipeg"
1009 = "Sungai Natzar"
1010 = "Portage la Prairie"
4919 = "Nazmizan"
1011 = "Pa"
1806 = "Danau Ketimun"
1807 = "Mahat"
1811 = "Assyaukanie Teluk Kecil"
1812 = "Pisaukuning"
2595 = "Pangeran Alberth"
1814 = "Kotahazel"
2005 = "Ratu"
2601 = "Sungai Perdamaian"
