#MONGOL KHANATE PRIMARY

#Canada
972 = "Altan"
973 = "Chakhar"
974 = "Töv Ereg"
975 = "Kitimat"
980 = "Gegeen Murong"
981 = "Bulangiin Gorki"
982 = "Töv Gazar Breton"
983 = "Khankhüü Byambyn Aral"
4891 = "Barsbold"
985 = "Taishi"
987 = "Gegeen Ketrin"
988 = "Yavuukhulan"
989 = "Saikhankhot"
990 = "Gurvan Gol"
991 = "Uliastai"
4895 = "Amar"
993 = "Khaanyuul"
994 = "Kebek"
995 = "Gonchigsumlaa Bulan"
996 = "Gegeen-Yümjiriin-Bulan"
997 = "Boomt Perle"
998 = "Tsaiz Saimuk"
3262 = "Boomt Byambajargal"
1000 = "Tsaiz Dagvadorj"
1001 = "Mariagiin Khürkhree"
1002 = "Altan Khöndii"
1003 = "Khandgai Büleglel"
1005 = "Choibalsaniin Büleglel"
1006 = "Wang"
1007 = "Ayangyn Bulan"
1009 = "Onriut Gol"
4919 = "Abaga"
1011 = "Pas"
1806 = "Khemkh Nuur"
1807 = "Darqan"
1812 = "Sharkhutga"
2595 = "Khankhüü Arigaba"
1814 = "Borjigin Nuur"
2005 = "Khatan Khaan"
2601 = "Tom Nugyn"
3041 = "Tsagaanmori"
2606 = "Tsaa"
2004 = "Khongor"
2018 = "Onggirat"
2003 = "Züün Ktunaxajal"
2012 = "Züün"
2017 = "Jargalant"
2568 = "Usnygüür"
2569 = "Dulaankhaan"
2570 = "Jigjidiinkhot"
2571 = "Ikh Khürkhree"
2572 = "Amar"
2582 = "Door-Gegeen-Yümjirin"
2584 = "Khovd"
2580 = "Tanshihuai"
2577 = "Doloon-Gol"
2576 = "Gegeen-Pyetr-Bulan"
2573 = "Otryadyngiinkhot"
2575 = "Galuu Bulan"
2586 = "Choidog"
2587 = "Ulanqab Davchuu"
4892 = "Ottava"
2671 = "Khan Davchuu"
2589 = "Xilingol"
999 = "Tsaiz Tseveen"
2592 = "Tsaiz Orkhon"
2593 = "Kivatin"
2594 = "Khorchin"
2596 = "Noyan"
2598 = "Shuurkhai Odoogiin"
#Kindersley = "Chagaan"
2599 = "Tsaiz Chipewyan"
2600 = "Tsaiz Bekh"
2602 = "Tomdarga"
2603 = "Booluudyn Nuur"
2604 = "Khankhüü Agbarjin"
2605 = "Khuld Gar"
2607 = "Karakorum Nikolai"
2609 = "Khankhüü Adai"
3099 = "Tsaiz Byambasüren"
3107 = "Enkhbat"
3109 = "Sükhbaatar Bulan"
3110 = "Tsaiz Agvaantseren"
3111 = "Zesiinuurkhai"

#USA
956 = "Filadyelifiya"
957 = "Gui"
4872 = "Saikhangol"
958 = "Erdene"
960 = "Sirakuz"
962 = "Otgookhot"
963 = "Khövsgöl"
965 = "Shine Öndörkhaan"
966 = "Khötöl"
967 = "Rodos Aral"
968 = "Bagakhangai"
969 = "Khankhot"
2562 = "Konkord"
971 = "Bugant"
2010 = "Choir"
4876 = "Khan Otgonbayar"
2639 = "Shineadvar"
2558 = "Sükhbaatar"
2560 = "Shine Boomt"
2561 = "Bayankhongor"
2559 = "Tüvshinbayarkhot"
2564 = "Livan"
970 = "Altai"
2013 = "Temülen"

#Netherlands
1744 = "Antverpen"

#Belgium
93 = "Lej"

#Luxembourg
94 = "Lyuksemburg"

#UK
251 = "Abyerdin"

#France
188 = "Mec"
202 = "Avïnon"
203 = "Lïon"

#Spain
213 = "Barselon"
225 = "Kordoba"
1750 = "Alïkante"

#Portugal
227 = "Lissabon"
1851 = "Koimbra"

#Germany
53 = "Lyuneburg"
57 = "Brawnshveyg"
62 = "Laiptsig"
78 = "Maync"
85 = "Keln"
1760 = "Koblenc"
1874 = "Bryemyen"
1878 = "Akhyen"

#Austria
133 = "Lints"
1863 = "Grats"

#Slovenia
1769 = "Lyublyan"

#Italy
109 = "Mantuya"
116 = "Florenc"
119 = "Ankona"
1875 = "Kuneo"

#Poland
260 = "Lyublin"
262 = "Krakov"

#Slovakia
1772 = "Pójon"

#Greece
142 = "Kerkira"
146 = "Afin"

#Belarus
292 = "Mogïlev"

#Ukraine
280 = "Kiyev"
291 = "Kharikov"
2413 = "Donyet"

#Russia
304 = "Mukhsha"
306 = "Dood Shinekhot"
313 = "Arkhangyeli"
464 = "Xacitarxan"
466 = "Axtwba"
480 = "Shiveriinshine"
716 = "Tuva"
1032 = "Kuriliin"
1033 = "Ömnöd Sakhalin"
1034 = "Kamchatkyn"
1039 = "Deedyana"
1048 = "Fuyori"
1049 = "Haranaoer"
4658 = "Khoid Sakhalin"
1054 = "Zülxe"
1055 = "Khoidbaigal"
1056 = "Bargajanai Adag"
1057 = "Üd"
1058 = "Chita"
1060 = "Erkhüü"
1062 = "Buriad"
1065 = "Darkhan"
1069 = "Zagasnynükh"
1070 = "Doodjalga"
1071 = "Nariin"
1072 = "Salehard"
1074 = "Qashliq"
1075 = "Chingi-Tura"
1082 = "Qazan"
1743 = "Kambre"
1778 = "Xankirmän"
1850 = "Gakhaingol"
2102 = "Gagdachi"
2103 = "Tugur-Chumikan"
2104 = "Buryeya"
2105 = "Birabidjan"
2106 = "Dalainergiintosgon"
1966 = "Chelyaba"
1971 = "Ahs"
2199 = "Mahacqala"
2369 = "Kostanai"
2417 = "Xal'mg Tañhç"
2423 = "Mordova"
2422 = "Shupashkar"
2420 = "Orinbor"
2428 = "Nariingol"
2429 = "Baavgainkhoshuu"
2433 = "Khus"
2434 = "Altai Zakh"
1066 = "Altai"
4214 = "Molihewen"
4215 = "Khar Mörön"
4264 = "Pava"
4659 = "Deedburyeya"
4662 = "Ünegüi"
4689 = "Chimeegüi"
4690 = "Khönööltei"

#Kazakhstan
439 = "Aktau"
443 = "Byeinyeu"
461 = "Almaty"
465 = "Atyrau"
470 = "Makat"
472 = "Aktöbye"
