2372 = "Hebaan"						#Hai Phong					|			2114.05.20	alternative:Hevaan
613 = "Hhyqpoq"						#Viet Bac					|			2114.05.20
2163 = "Lieutseu"					#Liuzhou					|			2114.05.20
667 = "Kuaantseu"					#Guangzhou					|			2113.05.20
668 = "Aumen"						#Macau						|			2113.05.20
669 = "Foqtseu"						#Fuzhou						|			2114.05.20
670 = "Koetseu"						#Ganzhou					|			2114.05.20
671 = "Zanso"						#Changsha					|			2114.05.20
671 = "Zanteq"						#Changde					|			2114.05.20
2168 = "Boqtseu"						#Bozhou						|			2112.05.20
674 = "Kuehhian"					#Guiyang					|			2114.05.20
2748 = "Jitshaan"					#Jianchang					|			2112.05.20
679 = "Zentu"						#Chengdu					|			2114.05.20
680 = "Zonqin"						#Chongqing					|			2114.05.20
682 = "Vutshaan"					#Wuchang					|			2110.05.20
683 = "Noetshaan"					#Nanchang					|			2114.05.20
684 = "Hhaantseu"					#Hangzhou					|			2114.05.20
2142 = "Hhua'ue"						#Huai'an					|unclear	2114.05.20
686 = "Oeqin"						#Anqing						|			2114.05.20
2175 = "Zrnyin"						#Runing						|			2114.05.20
688 = "Khefon"						#Kaifeng					|			2099.06.20
689 = "Hoetson"						#Hanzhong					|			2101.06.20
691 = "Jinoe"						#Jinan						|			2100.06.20
696 = "Paudin"						#Baoding					|			2101.06.20
2177 = "Nyinvu"						#Ningwu						|			2101.06.20
694 = "Binhhian"					#Pingyang					|			2101.06.20
695 = "Hhuji"						#Hejian						|			2101.06.20
2136 = "Xiho"						#Xuanhua					|			2102.06.20
697 = "Dadon"						#Datong						|			2101.06.20
698 = "Nyinhhia"					#Ningxia					|			2102.06.20
700 = "Zanoe"						#Xi'an						|			2101.06.20
703 = "Zenteq"						#Chengde					|			2102.06.20
704 = "Nyinhhyoe"					#Ningyuan					|			2102.06.20
1821 = "Noejin"						#Nanjing					|			2114.05.20
1822 = "Sutseu"						#Suzhou						|			2114.05.20
1824 = "Untseu"						#Wenzhou					|			2114.05.20
1829 = "Samen"						#Xiamen						|			2114.05.20
1833 = "Jiqoe"						#Ji'an						|			2114.05.20
687 = "Noehhian"					#Nanyang					|			2110.05.20
11842 = "Xiankaan"					#Hongkong					|			2113.05.20
616 = "Kaubin"						#Cao Bang					|			2114.05.20
2170 = "Sontseu"					#Songzhou					|			2099.06.20
663 = "Kuaannoe"					#Guangnan					|			2114.05.20
2164 = "Noenyin"					#Nanming					|			2114.05.20
2161 = "Litseu"						#Lianzhou					|			2113.05.20
2159 = "Letseu"						#Leizhou					|			2113.05.20
2158 = "Zaukue"						#Shaoguan					|			2107.05.20
2156 = "Zautseu"					#Chaozhou					|			2113.05.20
2152 = "Jinyin"						#Jianning					|			2114.05.20
2150 = "Jinhho"						#Jinhua						|			2114.05.20
2149 = "Nyinpu"						#Ningbo						|			2114.05.20
2148 = "Sein"						#Shanyin					|			2114.05.20
2146 = "Nyinkoq"					#Ningguo					|			2114.05.20
2147 = "Hhuaanse"					#Huangshan					|			2114.05.20
2173 = "Nyoelin"					#Yuanling					|			2114.05.20
2171 = "Xianhhian"					#Xiangyang					|			2110.05.20
681 = "Xitshaan"					#Yichang					|			2110.05.20
1836 = "Loqhhian"					#Luoyang					|			2099.06.20
2176 = "Saanqieu"					#Shangqui					|			2114.05.20
2144 = "Veuhhian"					#Fuyang						|			2114.05.20
2141 = "Xxitseu"					#Xuzhou						|			2110.05.20
2143 = "Vonhhian"					#Fengyang					|			2114.05.20
2145 = "Tsenkaan"					#Zhenjiang					|			2114.05.20
685 = "Hhiantseu"					#Yangzhou					|theory		2114.05.20
690 = "Qintseu"					#Qingzhou					|			2099.06.20
2138 = "Hhudin"						#Wuding						|			2100.06.20
2137 = "Damin"						#Daming						|			2101.06.20
692 = "Hhuaqin"					#Huaiqing					|			2099.06.20
693 = "Thanyyoe"					#Taiyuan					|			2101.06.20
2179 = "Hhioe"						#Yan'an						|			2101.06.20
2181 = "Binlian"					#Pingliang					|			2102.06.20
2180 = "Thisr"						#Tianshui					|			2102.06.20
4194 = "Ionbin"						#Yongping					|			2102.06.20
4195 = "Tsendin"					#Zhengding					|			2101.06.20
4196 = "Hetseu"						#Haizhou					|			2110.05.20
4197 = "Hhuaantseu"					#Huangzhou					|			2110.05.20
4211 = "Daqtseu"					#Dazhou						|			2099.06.20
4212 = "Jitseu"						#Jiazhou					|			2114.05.20
